month,avg_month,monthly_change,monthly_change_pct,peak_players
Last 30 Days,131047740,1241854,1.0,35382890
August 2024,129805886,-722003,-1.0,35047589
July 2024,130527889,4535718,4.0,35242530
June 2024,125992171,-7474112,-6.0,34017886
May 2024,133466282,4612949,4.0,36035896
April 2024,128853333,-3168525,-2.0,34790400
March 2024,132021858,-9076333,-6.0,35645902
February 2024,141098190,-1973116,-1.0,38096511
January 2024,143071306,6994355,5.0,32906400
December 2023,136076951,9214239,7.0,23586671
November 2023,126862712,-6676985,-5.0,21989537
October 2023,133539696,-11454545,-8.0,23146881
September 2023,144994242,-8114778,-5.0,25132335
August 2023,153109020,1964874,1.0,26538897
July 2023,151144146,2086803,1.0,26198319
June 2023,149057343,-3916121,-3.0,25836606
May 2023,152973464,-531126,0.0,26515400
April 2023,153504589,2304568,2.0,26607462
March 2023,151200021,1537019,1.0,26208004
February 2023,149663002,-1782773,-1.0,25941587
January 2023,151445775,2939795,2.0,26250601
December 2022,148505980,-1474596,0.0,25741037
November 2022,149980576,-928184,0.0,25996633
October 2022,150908760,-193595,0.0,26157518
September 2022,151102355,972337,0.0,26191075
August 2022,150130018,223228,0.0,26022536
July 2022,149906790,-1374568,0.0,25983844
June 2022,151281358,-1670074,0.0,26222102
May 2022,152951432,584771,0.0,26511582
April 2022,152366661,-946016,0.0,26410221
March 2022,153312677,-2243554,0.0,13798141
February 2022,155556231,2249220,0.0,14000061
January 2022,153307011,-1674215,0.0,13797631
December 2021,154981226,4613537,0.0,13948310
November 2021,150367689,1111777,0.0,13533092
October 2021,149255912,-2041170,0.0,13433032
September 2021,151297082,-554408,0.0,13616737
August 2021,151851490,-1464195,0.0,13666634
July 2021,153315685,1678998,0.0,13798412
June 2021,151636687,4768574,0.0,13647302
May 2021,146868113,3065435,0.0,13218130
April 2021,143802678,-1800813,0.0,12942241
March 2021,145603491,2779912,0.0,13104314
February 2021,142823579,1874552,0.0,12854122
January 2021,140949027,-5558822,0.0,12685412
December 2020,146507849,4290500,0.0,13185706
November 2020,142217348,23430462,0.0,12799561
October 2020,118786886,-4920299,0.0,10690820
September 2020,123707185,-7360004,0.0,6232378
